PostingID,JobTitle,RoleLevel,Company,Location,Country,Region,City,EmploymentType,CompensationType,SalaryMin,SalaryMax,SalaryMid,PostedDate,Source,RemoteType,Industry
1,Data Analyst,Junior,Company1,New York,USA,East,New York,Full-time,Yearly,66300,89700,78000,2024-03-12,Glassdoor,Remote,Healthcare
2,Software Engineer,Senior,Company2,San Francisco,USA,West,San Francisco,Full-time,Yearly,159375,215624,187500,2024-07-06,Indeed,Remote,Healthcare
3,Data Engineer,Mid,Company3,Austin,USA,East,Austin,Full-time,Yearly,97750,132250,115000,2024-01-02,Indeed,Remote,Retail
4,ML Engineer,Junior,Company4,Seattle,USA,West,Seattle,Full-time,Yearly,92861,125636,109249,2024-11-22,LinkedIn,Hybrid,Healthcare
5,Data Analyst,Mid,Company5,New York,USA,East,New York,Full-time,Yearly,91800,124199,108000,2024-02-04,LinkedIn,Hybrid,Healthcare
6,Software Engineer,Senior,Company6,Chicago,USA,East,Chicago,Full-time,Yearly,133875,181125,157500,2024-10-10,LinkedIn,Remote,Technology
7,Data Engineer,Mid,Company7,Boston,USA,East,Boston,Full-time,Yearly,107525,145475,126500,2024-08-12,Glassdoor,Hybrid,Technology
8,Data Engineer,Senior,Company8,Chicago,USA,East,Chicago,Full-time,Yearly,138337,187162,162750,2024-05-09,Indeed,Remote,Retail
9,Data Analyst,Senior,Company9,Austin,USA,East,Austin,Full-time,Yearly,102000,138000,120000,2024-05-07,LinkedIn,Hybrid,Retail
10,Software Engineer,Mid,Company10,Seattle,USA,West,Seattle,Full-time,Yearly,107524,145473,126499,2024-04-25,Indeed,Remote,Healthcare
11,Software Engineer,Mid,Company11,Chicago,USA,East,Chicago,Full-time,Yearly,98175,132825,115500,2024-08-25,Indeed,On-site,Healthcare
12,Data Engineer,Junior,Company12,Boston,USA,East,Boston,Full-time,Hourly,74800,101199,88000,2024-10-28,Glassdoor,On-site,Retail
13,Data Engineer,Senior,Company13,Chicago,USA,East,Chicago,Full-time,Yearly,138337,187162,162750,2024-06-24,Indeed,Hybrid,Finance
14,Software Engineer,Junior,Company14,San Francisco,USA,West,San Francisco,Full-time,Hourly,79687,107812,93750,2024-03-03,Indeed,Remote,Finance
15,ML Engineer,Mid,Company15,Austin,USA,East,Austin,Full-time,Yearly,119000,161000,140000,2024-04-15,LinkedIn,Hybrid,Healthcare
16,Software Engineer,Mid,Company16,New York,USA,East,New York,Full-time,Yearly,112200,151800,132000,2024-03-26,Indeed,On-site,Technology
17,Data Engineer,Junior,Company17,Boston,USA,East,Boston,Full-time,Yearly,74800,101199,88000,2024-01-04,Glassdoor,Remote,Technology
18,Data Scientist,Senior,Company18,Seattle,USA,West,Seattle,Full-time,Yearly,175949,238048,206999,2024-03-30,Indeed,Remote,Finance
19,Data Analyst,Mid,Company19,Seattle,USA,West,Seattle,Full-time,Yearly,87974,119023,103499,2024-04-05,Indeed,On-site,Retail
20,Data Analyst,Senior,Company20,San Francisco,USA,West,San Francisco,Full-time,Yearly,127500,172500,150000,2024-05-23,Glassdoor,On-site,Retail
21,Data Engineer,Junior,Company21,Chicago,USA,East,Chicago,Full-time,Yearly,71400,96599,84000,2024-01-07,Indeed,On-site,Finance
22,Software Engineer,Mid,Company22,San Francisco,USA,West,San Francisco,Full-time,Yearly,116875,158125,137500,2024-01-19,Glassdoor,On-site,Consulting
23,ML Engineer,Mid,Company23,Boston,USA,East,Boston,Full-time,Yearly,130900,177100,154000,2024-07-21,Glassdoor,Hybrid,Retail
24,Data Analyst,Junior,Company24,San Francisco,USA,West,San Francisco,Full-time,Yearly,69062,93437,81250,2024-12-13,Indeed,Remote,Retail
25,Data Engineer,Mid,Company25,San Francisco,USA,West,San Francisco,Full-time,Yearly,122187,165312,143750,2024-11-07,Glassdoor,On-site,Consulting
26,Software Engineer,Junior,Company26,Boston,USA,East,Boston,Full-time,Yearly,70125,94874,82500,2024-02-22,Indeed,Hybrid,Technology
27,Data Engineer,Mid,Company27,Austin,USA,East,Austin,Full-time,Yearly,97750,132250,115000,2024-08-09,LinkedIn,Hybrid,Consulting
28,Data Analyst,Mid,Company28,San Francisco,USA,West,San Francisco,Full-time,Yearly,95625,129374,112500,2024-02-20,LinkedIn,Remote,Technology
29,Data Scientist,Junior,Company29,San Francisco,USA,West,San Francisco,Full-time,Yearly,95625,129374,112500,2024-02-20,LinkedIn,Remote,Retail
30,Data Analyst,Senior,Company30,Chicago,USA,East,Chicago,Full-time,Yearly,107100,144900,126000,2024-01-14,Glassdoor,Remote,Finance
31,Data Analyst,Junior,Company31,Seattle,USA,West,Seattle,Full-time,Yearly,63537,85962,74750,2024-01-13,Indeed,Hybrid,Technology
32,Data Engineer,Junior,Company32,Boston,USA,East,Boston,Full-time,Yearly,74800,101199,88000,2024-05-29,Indeed,Hybrid,Retail
33,Data Engineer,Mid,Company33,New York,USA,East,New York,Full-time,Yearly,117300,158700,138000,2024-01-26,LinkedIn,Remote,Finance
34,Data Analyst,Junior,Company34,Boston,USA,East,Boston,Full-time,Yearly,60775,82225,71500,2024-11-24,Glassdoor,Hybrid,Healthcare
35,Software Engineer,Junior,Company35,Boston,USA,East,Boston,Full-time,Yearly,70125,94874,82500,2024-01-05,Indeed,Remote,Retail
36,Software Engineer,Senior,Company36,New York,USA,East,New York,Full-time,Yearly,153000,206999,180000,2024-07-16,Glassdoor,Hybrid,Finance
37,Software Engineer,Mid,Company37,Seattle,USA,West,Seattle,Full-time,Yearly,107524,145473,126499,2024-04-27,Glassdoor,Hybrid,Retail
38,Data Scientist,Mid,Company38,New York,USA,East,New York,Full-time,Yearly,132600,179400,156000,2024-08-05,Indeed,Remote,Technology
39,Software Engineer,Senior,Company39,Seattle,USA,West,Seattle,Full-time,Yearly,146625,198374,172500,2024-10-28,Indeed,Remote,Retail
40,Software Engineer,Mid,Company40,New York,USA,East,New York,Full-time,Yearly,112200,151800,132000,2024-01-17,Glassdoor,Hybrid,Healthcare
41,ML Engineer,Mid,Company41,New York,USA,East,New York,Full-time,Yearly,142800,193199,168000,2024-07-29,Indeed,On-site,Technology
42,Data Scientist,Senior,Company42,Chicago,USA,East,Chicago,Full-time,Yearly,160650,217349,189000,2024-06-10,Glassdoor,Hybrid,Retail
43,Software Engineer,Junior,Company43,Chicago,USA,East,Chicago,Full-time,Yearly,66937,90562,78750,2024-08-10,Indeed,Hybrid,Finance
44,Data Analyst,Senior,Company44,Austin,USA,East,Austin,Full-time,Yearly,102000,138000,120000,2024-12-07,LinkedIn,Remote,Healthcare
45,Data Scientist,Junior,Company45,San Francisco,USA,West,San Francisco,Full-time,Yearly,95625,129374,112500,2024-12-21,Indeed,On-site,Consulting
46,Data Scientist,Mid,Company46,San Francisco,USA,West,San Francisco,Full-time,Yearly,138125,186875,162500,2024-11-05,Glassdoor,On-site,Retail
47,Data Analyst,Senior,Company47,Seattle,USA,West,Seattle,Full-time,Yearly,117300,158700,138000,2024-12-30,LinkedIn,Remote,Finance
48,Data Engineer,Junior,Company48,Seattle,USA,West,Seattle,Full-time,Yearly,78200,105799,92000,2024-11-25,LinkedIn,Hybrid,Retail
49,Data Scientist,Junior,Company49,Chicago,USA,East,Chicago,Full-time,Yearly,80325,108674,94500,2024-09-06,Glassdoor,On-site,Technology
50,ML Engineer,Senior,Company50,San Francisco,USA,West,San Francisco,Full-time,Yearly,201875,273125,237500,2024-07-01,Glassdoor,Hybrid,Technology
51,Data Engineer,Junior,Company51,Chicago,USA,East,Chicago,Full-time,Yearly,71400,96599,84000,2024-09-01,Glassdoor,On-site,Finance
52,Data Analyst,Senior,Company52,San Francisco,USA,West,San Francisco,Full-time,Yearly,127500,172500,150000,2024-10-19,Glassdoor,Remote,Healthcare
53,ML Engineer,Junior,Company53,Chicago,USA,East,Chicago,Full-time,Yearly,84787,114712,99750,2024-02-16,LinkedIn,Hybrid,Retail
54,Software Engineer,Junior,Company54,Seattle,USA,West,Seattle,Full-time,Hourly,73312,99187,86250,2024-07-13,Indeed,On-site,Technology
55,ML Engineer,Senior,Company55,San Francisco,USA,West,San Francisco,Full-time,Yearly,201875,273125,237500,2024-11-18,Indeed,Hybrid,Consulting
56,Data Scientist,Mid,Company56,New York,USA,East,New York,Full-time,Yearly,132600,179400,156000,2024-06-06,Indeed,Remote,Consulting
57,Data Scientist,Senior,Company57,Austin,USA,East,Austin,Full-time,Yearly,153000,206999,180000,2024-02-29,LinkedIn,On-site,Retail
58,Software Engineer,Junior,Company58,Austin,USA,East,Austin,Full-time,Yearly,63750,86250,75000,2024-01-07,LinkedIn,Remote,Healthcare
59,Software Engineer,Junior,Company59,Chicago,USA,East,Chicago,Full-time,Yearly,66937,90562,78750,2024-08-23,LinkedIn,On-site,Consulting
60,Data Engineer,Junior,Company60,Boston,USA,East,Boston,Full-time,Yearly,74800,101199,88000,2024-11-04,Glassdoor,Remote,Finance
61,ML Engineer,Junior,Company61,San Francisco,USA,West,San Francisco,Full-time,Yearly,100937,136562,118750,2024-12-09,LinkedIn,On-site,Consulting
62,Data Analyst,Junior,Company62,San Francisco,USA,West,San Francisco,Full-time,Yearly,69062,93437,81250,2024-08-29,Indeed,On-site,Technology
63,ML Engineer,Senior,Company63,New York,USA,East,New York,Full-time,Yearly,193800,262200,228000,2024-01-09,Glassdoor,Hybrid,Technology
64,Data Analyst,Junior,Company64,Seattle,USA,West,Seattle,Full-time,Yearly,63537,85962,74750,2024-10-27,Glassdoor,Hybrid,Retail
65,Data Analyst,Junior,Company65,Chicago,USA,East,Chicago,Full-time,Yearly,58012,78487,68250,2024-07-31,LinkedIn,On-site,Retail
